mm_id,BSEID,NSEID,Industry,Mojo,Name,financial,quality,technical,valuation
700623,524774,0,Pharma,Sell,NGL Fine-Chem,Negative,Good,Negative,Attractive
876497,524075,ALBERTDAVD,Pharma,Hold,Albert David,Positive,Average,Positive,Very Attractive
812580,524758,0,Pharma,Strong Sell,Wintac,Negative,Below Average,Negative,Risky
925632,506879,GUJTHEMIS,Pharma,Hold,Guj. Themis Biosyn,Outstanding,Average,Outstanding,Very Expensive
142337,524518,KREBSBIO,Pharma,Strong Sell,Krebs Biochem.&Inds,Negative,Below Average,Negative,Risky
134395,524731,0,Pharma,Sell,Jenburkt Pharma,Flat,Average,Flat,Very Attractive
189669,524500,KILITCH,Pharma,Strong Sell,Kilitch Drugs,Negative,Average,Negative,Fair
982753,500009,AMBASARABH,Pharma,Strong Sell,Ambalal Sarabhai Ent,Negative,Below Average,Negative,Risky
393806,532305,INDSWFTLAB,Pharma,Strong Sell,Ind-Swift Labs,Negative,Below Average,Negative,Very Expensive
1002834,540702,LASA,Pharma,Sell,Lasa Supergenerics,Very Positive,Below Average,Very Positive,Expensive
1003143,542678,0,Pharma,Not Rated,Cian Healthcare,,Does not qualify,,Risky
1003095,542248,0,Pharma,Not Rated,Deccan Health Care,,Below Average,,Does not qualify
568367,524280,KOPRAN,Pharma,Sell,Kopran,Negative,Average,Negative,Very Attractive
683231,532039,0,Pharma,Not Rated,Zenotech Laboratorie,Positive,Does not qualify,Positive,Does not qualify
263659,530313,0,Pharma,Strong Sell,Kimia Biosciences,Negative,Below Average,Negative,Does not qualify
1000979,541400,0,Pharma,Not Rated,Zim Laboratories,Negative,Does not qualify,Negative,Does not qualify
1002949,541096,0,Pharma,Sell,Bharat Parenterals,Positive,Average,Positive,Does not qualify
